"Kode Hardware","Nama Hardware",Merk,Model,"Serial Number",Spesifikasi,Kategori,Status,"Tanggal Pembelian","Harga Pembelian",Lokasi,"PIC Pengguna",Divisi,Keterangan,"Tanggal Garansi Mulai","Tanggal Garansi Selesai",Vendor,"No Invoice","Created By","Created At"
HW001,"Dell Inspiron 15 3000",Dell,"Inspiron 15 3000",DL001234567,"Intel Core i5-1135G7, 8GB RAM, 256GB SSD, 15.6"" HD Display",Laptop,Aktif,2024-01-15,"Rp 8.500.000","IT Office - Room 101","John Doe",IT,"Laptop untuk staff IT",2024-01-15,2026-01-15,"PT. Dell Indonesia",INV-DELL-2024-001,Admin,"2025-09-09 15:10:34"
HW002,"HP ProDesk 400 G7",HP,"ProDesk 400 G7",HP002345678,"Intel Core i7-10700, 16GB RAM, 512GB SSD, Windows 11 Pro",Komputer,Aktif,2024-02-20,"Rp 12.500.000","Accounting - Room 203","Jane Smith",Accounting,"Desktop untuk bagian accounting",2024-02-20,2026-02-20,"PT. HP Indonesia",INV-HP-2024-002,Admin,"2025-09-09 15:10:34"
HW003,"Canon imageCLASS LBP6030",Canon,"imageCLASS LBP6030",CN003456789,"Laser Printer, Monochrome, USB Connection, A4 Size",Printer,Maintenance,2023-11-10,"Rp 1.200.000","Admin Office - Room 105","Michael Brown",Admin,"Printer untuk keperluan administrasi umum",2023-11-10,2024-11-10,"PT. Canon Indonesia",INV-CANON-2023-003,Admin,"2025-09-09 15:10:34"
HW004,"Cisco Catalyst 2960-X",Cisco,"Catalyst 2960-X-24TS-L",CS004567890,"24-Port Gigabit Switch, Layer 2, Managed Switch",Network,Aktif,2024-03-05,"Rp 15.000.000","Server Room - Rack A1","Network Admin",IT,"Switch utama untuk jaringan kantor",2024-03-05,2027-03-05,"PT. Cisco Indonesia",INV-CISCO-2024-004,Admin,"2025-09-09 15:10:34"
HW005,"Epson EH-TW5700",Epson,EH-TW5700,EP005678901,"Full HD 1080p, 2700 Lumens, 3LCD Technology, HDMI/VGA",Proyektor,Aktif,2024-04-12,"Rp 8.000.000","Meeting Room A","Admin Meeting",General,"Proyektor untuk ruang meeting utama",2024-04-12,2026-04-12,"PT. Epson Indonesia",INV-EPSON-2024-005,Admin,"2025-09-09 15:10:34"
HW006,"Samsung 24"" Monitor",Samsung,LF24T450FQE,SM006789012,"24"" Full HD IPS, 75Hz, AMD FreeSync, Flicker Free",Monitor,Aktif,2024-05-18,"Rp 2.500.000","Marketing - Desk 5","Sarah Wilson",Marketing,"Monitor tambahan untuk workstation marketing",2024-05-18,2026-05-18,"PT. Samsung Indonesia",INV-SAMSUNG-2024-006,Admin,"2025-09-09 15:10:34"
HW007,"Synology DS220+",Synology,"DiskStation DS220+",SY007890123,"2-Bay NAS, Intel Celeron J4025, 2GB RAM, RAID Support",Storage,Aktif,2024-06-25,"Rp 4.500.000","Server Room - Rack B2","IT Admin",IT,"Network Attached Storage untuk backup data",2024-06-25,2026-06-25,"PT. Synology Indonesia",INV-SYNOLOGY-2024-007,Admin,"2025-09-09 15:10:34"
HW008,"Brother MFC-L2710DW",Brother,MFC-L2710DW,BR008901234,"All-in-One Laser Printer, WiFi, Auto Duplex, Scanner",Scanner,Rusak,2023-08-15,"Rp 3.200.000","HR Office - Room 301","HR Staff",HR,"Printer scanner untuk keperluan HR",2023-08-15,2024-08-15,"PT. Brother Indonesia",INV-BROTHER-2023-008,Admin,"2025-09-09 15:10:34"
HW009,"Lenovo ThinkPad E14",Lenovo,"ThinkPad E14 Gen 3",LN009012345,"AMD Ryzen 5 5500U, 8GB RAM, 512GB SSD, 14"" FHD",Laptop,Retired,2022-12-01,"Rp 9.500.000","Storage Room",-,Finance,"Laptop lama, sudah diganti dengan yang baru",2022-12-01,2023-12-01,"PT. Lenovo Indonesia",INV-LENOVO-2022-009,Admin,"2025-09-09 15:10:34"
HW010,"ASUS RT-AX6000",ASUS,RT-AX6000,AS010123456,"WiFi 6 Router, Dual Band, 6000 Mbps, 8 Gigabit Ports",Network,Aktif,2024-07-30,"Rp 5.500.000","Main Office - Network Cabinet","Network Admin",IT,"Router utama untuk akses internet kantor",2024-07-30,2027-07-30,"PT. ASUS Indonesia",INV-ASUS-2024-010,Admin,"2025-09-09 15:10:34"
